Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode
JPMorgan Chase Bank,1,JPMorgan Chase Bank Main Office,0,01/01/1824,,1111 Polaris Parkway,Columbus,Delaware,OH,43240
JPMorgan Chase Bank,0,Vernon Hills Scarsdale Branch,2,3/20/1961,,676 White Plains Road,Scarsdale,Westchester,NY,10583
JPMorgan Chase Bank,0,Great Neck Northern Boulevard Branch,3,9/9/1963,,410 Northern Boulevard,Great Neck,Nassau,NY,11021
JPMorgan Chase Bank,0,North Hartsdale Branch,4,2/19/1966,,353 North Central Avenue,Hartsdale,Westchester,NY,10530
JPMorgan Chase Bank,0,Lawrence Rockaway Branch,5,1/16/1965,,335 Rockaway Turnpike,Lawrence,Nassau,NY,11559
JPMorgan Chase Bank,0,Mount Vernon Branch,9,2/25/1964,,22 West First Street,Mount Vernon,Westchester,NY,10550
JPMorgan Chase Bank,0,Castle Hill Branch,12,12/11/1965,,784 Castle Hill Avenue,Bronx,Bronx,NY,10473
JPMorgan Chase Bank,0,Burnside Avenue Branch,15,2/14/1922,,5 West Burnside Avenue,Bronx,Bronx,NY,10453
JPMorgan Chase Bank,0,Gun Hill Branch,16,12/18/1950,,1308 East Gun Hill Road,Bronx,Bronx,NY,10469
JPMorgan Chase Bank,0,Kingsbridge Road Branch,18,8/18/1924,,66 East Kingsbridge Road,Bronx,Bronx,NY,10468
JPMorgan Chase Bank,0,Riverdale Branch,20,6/1/1950,,3775 Riverdale Avenue,Bronx,Bronx,NY,10463
JPMorgan Chase Bank,0,Washington Heights Branch,21,1/2/1909,,1421 Saint Nicholas Avenue,New York City,New York,NY,10033
JPMorgan Chase Bank,0,Broadway Branch,22,7/12/1926,,5581 Broadway,Bronx,Bronx,NY,10463
JPMorgan Chase Bank,0,Westchester Square Branch,24,6/29/1959,,2725 East Tremont Avenue,Bronx,Bronx,NY,10461
JPMorgan Chase Bank,0,Bay Parkway and 85th St Branch,26,3/25/1964,,8418 Bay Parkway,Brooklyn,Kings,NY,11214
JPMorgan Chase Bank,0,Grand Army Plaza Branch,33,3/14/1927,,401 Flatbush Avenue,Brooklyn,Kings,NY,11238
JPMorgan Chase Bank,0,Carroll Gardens Branch,34,6/9/1913,,79 Hamilton Avenue,Brooklyn,Kings,NY,11231
JPMorgan Chase Bank,0,Third Avenue & 51st Street Branch,37,5/5/1961,,850 Third Avenue,New York City,New York,NY,10022
JPMorgan Chase Bank,0,East End Branch,38,5/22/1961,,1495 York Avenue,New York City,New York,NY,10075
JPMorgan Chase Bank,0,Audubon Branch,40,4/2/1917,,3940 Broadway,New York City,New York,NY,10032
